,Population,,,,,,Housing Units,,,,,
Wilbarger County,15121,15931,15355,17748,20552,20474,6812,6539,6161,6764,6706,6026
Willacy County,17705,17495,15570,20084,20920,13230,6072,5344,4715,5776,5769,3541
Williamson County,139551,76521,37305,35044,38853,41698,54466,28240,13216,12865,12779,12189
Wilson County,22650,16756,13041,13267,14672,17066,8516,6208,4332,4095,4103,4216
Winkler County,8626,9944,9640,13652,10064,6141,3708,3854,3578,4553,3265,2088
Wise County,34679,26575,19687,17012,16141,19074,14219,11010,7430,6204,5686,5395
Wood County,29380,24697,18589,17653,21308,24360,14541,11438,7680,6631,6761,6540
Yoakum County,8786,8299,7344,8032,4339,5354,3372,3024,2469,2658,1346,1712
Young County,18126,19083,15400,17254,16810,19004,8523,8241,6432,6480,5695,5614
Zapata County,9279,6628,4352,4393,4405,3916,4225,3054,1666,1287,1210,1085
Zavala County,12162,11666,11370,12696,11201,11603,4180,3531,3185,3302,3015,2841
,,,,,,,,,,,,
Utah,,,,,,,,,,,,
Beaver County,4765,4378,3800,4331,4856,5014,2200,1817,1429,1422,1478,1312
Box Elder County,36485,33222,28129,25061,19734,18832,11890,10298,8326,7198,5649,4810
Cache County,70183,57176,42331,35788,33536,29797,22053,18864,12483,10499,9617,7878
Carbon County,20228,22179,15647,21135,24901,18459,8713,8192,5642,7110,6818,5101
Daggett County,690,769,666,1164,364,564,825,737,306,377,103,131
Davis County,187941,146540,99028,64760,30867,15784,55777,41566,24223,16426,8438,3862
Duchesne County,12645,12565,7299,7179,8134,8958,5860,4478,2348,2116,2189,2208
Emery County,10332,11451,5137,5546,6304,7072,3928,3703,1766,1812,1883,1818
Garfield County,3980,3673,3157,3577,4151,5253,2488,1770,1216,1336,1138,1216
Grand County,6620,8241,6688,6345,1903,2070,2992,3046,2044,1941,633,565
Iron County,20789,17349,12177,10795,9642,8331,8499,6248,3728,3269,2753,2171
Juab County,5817,5530,4574,4597,5981,7392,2311,1969,1578,1647,1834,2037
Kane County,5169,4024,2421,2667,2299,2561,3237,2186,1026,940,738,649
Millard County,11333,8970,6988,7866,9387,9613,4125,3290,2455,2563,2635,2351
Morgan County,5528,4917,3983,2837,2519,2611,1681,1400,1110,857,773,745
Piute County,1277,1329,1164,1436,1911,2203,704,619,476,519,548,585
Rich County,1725,2100,1615,1685,1673,2028,1859,1497,800,584,537,582
Salt Lake County,725956,619066,458607,383035,274895,211623,257339,214572,139593,114425,81490,59071
San Juan County,12621,12253,9606,9040,5315,4712,4650,3746,2417,2271,1328,1087
Sanpete County,16259,14620,10976,11053,13891,16063,6570,5639,3911,4093,4366,4167
Sevier County,15431,14727,10103,10565,12072,12112,6059,5422,3600,3748,3676,3139
Summit County,15518,10198,5879,5673,6745,8714,11256,5879,2883,2405,2246,2402
Tooele County,26601,26033,21545,17868,14636,9133,9510,8566,6455,5468,4969,2416
Uintah County,22211,20506,12684,11582,10300,9898,8142,6621,3713,3187,2824,2493
Utah County,263590,218106,137776,106991,81912,57382,72820,62337,35963,28561,21976,14324
Wasatch County,10089,8523,5863,5308,5574,5754,4465,4472,2447,1677,1557,1456
Washington County,48560,26065,13669,10271,9836,9269,19523,9723,4387,3299,3047,2281
Wayne County,2177,1911,1483,1728,2205,2394,1061,848,556,591,615,520
Weber County,158330,144616,126278,110744,83319,56714,57851,50501,38884,32329,24696,15914
,,,,,,,,,,,,
Vermont,,,,,,,,,,,,
Addison County,32953,29406,24266,20076,19442,17944,14022,12002,8535,7025,6420,5690
Bennington County,35845,33345,29282,25088,24115,22286,18501,15597,11900,9117,8228,7358
Caledonia County,27846,25808,22789,22786,24049,24320,13449,11611,8859,8277,7974,7545
Chittenden County,131761,115534,99131,74425,62570,52098,52095,41347,30668,22467,17852,14020
Essex County,6405,6313,5416,6083,6257,6490,4403,3704,2590,2490,2239,1920
Franklin County,39980,34788,31282,29474,29894,29601,17250,14460,11416,9963,9324,8245
Grand Isle County,5318,4613,3574,2927,3406,3802,4135,3556,2618,2166,1448,1391
Lamoille County,19735,16767,13309,11027,11388,11028,9872,7537,4989,3835,3498,3175
Orange County,26149,22739,17676,16014,17027,17048,12336,10483,7018,5856,5703,5209
Orleans County,24053,23440,20153,20143,21190,21718,12997,11175,8637,7955,7382,6894
Rutland County,62142,58347,52637,46719,45905,45638,31181,25778,19555,16440,15117,13500
Washington County,54928,52393,47659,42860,42870,41546,25328,22113,16258,13994,12727,11515
Windham County,41588,36933,33476,29776,28749,27850,25796,19561,14660,11439,10420,8788
Windsor County,54055,51030,44082,42483,40885,37862,29849,24275,17508,15283,13579,11112
,,,,,,,,,,,,
Virginia,,,,,,,,,,,,
Accomack County,31703,31268,29004,30635,33832,33030,15840,13815,11729,11850,11079,9674
Albemarle County,68040,55783,37780,30969,26662,24652,25958,20363,11738,8838,7070,5942
Alleghany County,13176,14333,12461,12128,23139,22688,5481,5433,4128,3557,6182,5415
Amelia County,8787,8405,7592,7815,7908,8495,3439,3016,2331,2150,2035,2169
Amherst County,28578,29122,26072,22953,20332,20273,10598,9672,6966,5709,4602,4458
Appomattox County,12298,11971,9784,9148,8764,9020,4913,4509,3303,2595,2387,2172
Arlington County,170936,152599,174284,163401,135449,57040,84847,75182,71241,56949,41051,16444
Augusta County,54677,53732,44220,37363,34154,42772,21202,19613,14016,10890,8760,10264
Bath County,4799,5860,5192,5335,6296,7191,2596,2537,2240,2016,1850,1668
Bedford County,45656,34927,26728,31028,29627,29687,19641,13892,8917,9108,7794,7126
Bland County,6514,6349,5423,5982,6436,6731,2706,2265,1873,1664,1724,1554
Botetourt County,24992,23270,18193,16715,15766,16447,9785,8710,6180,5215,4243,3887
Brunswick County,15987,15632,16172,17779,20136,19575,6456,6195,4982,4955,4897,4506
Buchanan County,31333,37989,32071,36724,35748,31477,12222,12772,8973,8486,7507,6212
Buckingham County,12873,11751,10597,10877,12288,13398,5013,4542,3375,3128,3198,3156
Campbell County,47572,45424,43319,32958,28877,26048,19008,16341,13670,9330,7700,5909
Caroline County,19217,17904,13925,12725,12471,13945,7292,6527,4110,3440,3123,3186
Carroll County,26594,27270,23092,23178,26695,25904,12209,11685,8128,6901,7052,5859
Charles City County,6282,6692,6158,5492,4676,4275,2314,2172,1576,1270,1154,988
Charlotte County,11688,12266,12366,13368,14057,15861,4947,4561,4087,3911,3666,3597
Chesterfield County,209274,141372,77045,71197,40400,31183,77329,48883,22554,19931,10584,7975
Clarke County,12101,9965,8102,7942,7074,7159,4531,3961,3071,2590,2097,1821
Craig County,4372,3948,3524,3356,3452,3769,1993,1873,1378,1195,995,994
Culpeper County,27791,22620,18218,15088,13242,13365,10471,8271,5860,4568,3717,3327
Cumberland County,7825,7881,6179,6360,7252,7505,3170,3060,2090,1933,1987,1891
Dickenson County,17620,19806,16077,20211,23393,21266,7112,6904,5076,5122,5045,4274
Dinwiddie County,20960,22602,25046,22183,18839,18166,8023,6838,6120,4646,3615,3371
Essex County,8689,8864,7099,6690,6530,7006,4073,4082,2784,2288,2093,1957
Fairfax County,818584,596901,454275,275002,98557,40929,307966,215739,130508,69184,26558,9602
Fauquier County,48741,35889,26375,24066,21248,21039,17716,12565,8437,7305,5964,5296
Floyd County,12005,11563,9775,10462,11351,11967,5505,4915,3613,3281,3296,2937
Fluvanna County,12429,10244,7621,7227,7121,7088,5035,3828,2496,2091,2087,1808
Franklin County,39549,35740,28163,25925,24560,25864,17526,13512,9164,7146,6404,5851
Frederick County,45723,34150,28893,21941,17537,14008,17864,12759,9492,6598,5026,3457
Giles County,16366,17810,16741,17219,18956,14635,7098,6733,5636,5211,4920,3281
Gloucester County,30131,20107,14059,11919,10343,9548,12451,8312,5294,4338,3524,2993
Goochland County,14163,11761,10069,9206,8934,8454,5203,4031,2873,2314,2042,1825
Grayson County,16278,16579,15439,17390,21379,21916,7529,6790,5596,5315,5843,5153
Greene County,10297,7625,5248,4715,4745,5218,4154,3059,1627,1259,1163,1158
Greensville County,8853,10903,9604,16155,16319,14866,3393,3792,2824,4296,3973,3280
Halifax County,29033,30599,30076,33637,41442,41271,11790,11350,9528,9131,10433,9103
Hanover County,63306,50398,37479,27550,21985,18500,23727,17278,10948,7728,5736,4449
Henrico County,217881,180735,154463,117339,57340,41960,94539,70428,49528,34722,17521,11279
Henry County,56942,57654,50901,40335,31219,26481,23169,20968,15726,11052,7601,5678
Highland County,2635,2937,2529,3221,4069,4875,1759,1463,1169,1141,1157,1143
Isle of Wight County,25053,21603,18285,17164,14906,13381,9753,7705,5457,4755,4037,3246
James City County,34859,22763,17853,11539,6317,4907,14330,8672,5073,2981,1540,1173
King and Queen County,6289,5968,5491,5889,6299,6954,2698,2510,1831,1740,1796,1845
King George County,13527,10543,8039,7243,6710,5431,5280,3997,2719,2343,2043,1515
King William County,10913,9334,7497,7563,7589,7855,4193,3441,2417,2183,2210,2071
Lancaster County,10896,10129,9126,9174,8640,8786,5918,5107,3940,3387,2916,2353
Lee County,24496,25956,20321,25824,36106,39296,10263,9659,7289,7640,8716,8296
Loudoun County,86129,57427,37150,24549,21147,20291,32932,19742,11381,7370,5988,5219
Louisa County,20325,17825,14004,12959,12826,13665,9080,7063,4892,3832,3782,3682
Lunenburg County,11419,12124,11687,12523,14116,13844,5065,4808,3999,3905,3755,3429
Madison County,11949,10232,8638,8187,8273,8465,4547,3997,3001,2774,2272,1945
Mathews County,8348,7995,7168,7121,7148,7149,4725,4225,3362,2939,2510,2159
Mecklenburg County,29241,29444,29426,31428,33497,31933,14589,13036,9774,8912,8359,7466
Middlesex County,8653,7719,6295,6319,6715,6673,5486,4936,3523,3051,2541,2184
Montgomery County,73913,63516,47157,32923,29780,21206,27770,22386,14568,9289,7491,5258
Nelson County,12778,12204,11702,12752,14042,16241,7063,5500,4010,3760,3745,3611
New Kent County,10445,8781,5300,4504,3995,4092,3968,3256,1641,1288,1168,1133
Northampton County,13061,14625,14442,16966,17300,17597,6183,6132,5798,6232,5450,4834
Northumberland County,10524,9828,9239,10185,10012,10463,6841,5584,4339,3831,3203,2733
Nottoway County,14993,14666,14260,15141,15479,15556,5732,5619,4787,4730,4268,3673
Orange County,21421,18063,13792,12900,12755,12649,9038,7358,4918,3947,3661,3347
Page County,21690,19401,16581,15572,15152,14863,8948,8329,5938,4925,4238,3675
Patrick County,17473,17647,15282,15282,15642,16613,8125,7054,5491,4451,3951,3839
Pittsylvania County,55655,66147,58789,58296,66096,61697,22861,24255,17975,15800,16020,13345
Powhatan County,15328,13062,7696,6747,5556,5671,4910,3838,1968,1682,1499,1304
Prince Edward County,17320,16456,14379,14121,15398,14922,6075,5548,4376,4178,4023,3603
Prince George County,27394,25733,29092,20270,19679,12226,8640,6944,5867,4224,3705,2748
Prince William County,215686,144703,111102,50164,22612,17738,74759,46490,29885,13207,5755,3430
Pulaski County,34496,35229,29564,27258,27758,22767,14740,13736,10055,8169,7418,5168
Rappahannock County,6622,6093,5199,5368,6112,7208,2964,2704,2024,1865,1739,1658
Richmond County,7273,6952,6504,6375,6189,6634,3179,3007,2373,2066,1876,1612
Roanoke County,79332,72945,67339,61693,41486,42897,31689,26800,21291,17803,10771,10468
Rockbridge County,18350,17911,16637,24039,23359,22384,7975,7125,5590,6929,6076,5487
Rockingham County,57482,57038,47890,40485,35079,31289,22614,20862,15278,11858,9498,7681
Russell County,28667,31761,24533,26290,26818,26627,11558,11518,7619,6848,6310,5570
Scott County,23204,25068,24376,25813,27640,26989,10003,9778,8136,7250,7082,5890
Shenandoah County,31636,27559,22852,21825,21169,20898,15160,12000,8773,7208,6344,5578
Smyth County,32370,33345,31349,31066,30187,28861,13132,12306,9728,8394,7274,5850
Southampton County,17550,18731,18582,27195,26522,26442,6560,6256,5440,7529,6651,5806
Spotsylvania County,57403,34435,16424,13819,11920,9905,20483,11850,5196,3999,3343,2381
Stafford County,61236,40470,24587,16876,11902,9548,20529,13271,7316,5021,3372,2276
Surry County,6145,6046,5882,6220,6220,6193,2982,2724,2041,1934,1822,1639
Sussex County,10248,10874,11464,12411,12785,12485,4252,3958,3257,3234,3262,2904
Tazewell County,45960,50511,39816,44791,47512,41607,18901,18274,12878,12545,11318,9029
Warren County,26142,21200,15301,14655,14801,11352,11223,9516,5992,4805,4198,2751
Washington County,45887,46487,40835,38076,37536,38197,19183,17884,13522,11141,9334,8646
Westmoreland County,15480,14041,12142,11042,10148,9512,8378,7471,5618,4661,3829,3033
Wise County,39573,43863,35947,43579,56336,52458,15927,15666,11548,11938,13790,11391
Wythe County,25466,25522,22139,21975,23327,22721,10659,9833,7274,6494,5877,5159
York County,42422,35463,33203,21583,11750,8857,15284,11427,9257,6333,3372,2259
Alexandria city,111183,103217,110927,91023,61787,33523,58252,52041,44421,29754,18753,9220
Bedford city,6073,5991,6011,5921,0,0,2625,2608,2057,0,0,0
Bristol city,18426,19042,14857,17144,15954,9768,8174,7744,5069,5099,4266,2394
Buena Vista city,6406,6717,6425,6300,5214,4335,2494,2406,1980,1752,1356,1027
Charlottesville city,40341,39916,38880,29427,25969,19400,16785,15998,14291,9818,7277,5519
Chesapeake city,151976,114486,89580,0,0,0,55742,38060,25867,0,0,0
Clifton Forge city,4679,5046,5501,5268,5795,6461,2131,2064,2011,1807,1738,1732
Colonial Heights city,16064,16509,15097,9587,6077,0,6592,6078,4901,3142,1876,0
Covington city,6991,9063,10060,11062,0,0,3269,3734,3565,3495,0,0
Danville city,53056,45642,46391,46577,35066,32749,23297,18405,16291,15196,10218,8410
Emporia city,5306,4840,5300,5535,0,0,2178,1951,1816,0,0,0
Fairfax city,19622,19390,22727,13585,0,0,7677,7050,6574,0,0,0
Falls Church city,9578,9515,10772,10192,7535,0,4668,4503,3762,2894,2193,0
Franklin city,7864,7308,6880,7264,0,0,3166,2688,2206,0,0,0
Fredericksburg city,19027,15322,14450,13639,12158,10066,8063,6347,4813,4102,3328,2653
Galax city,6670,6524,6278,5254,0,0,2943,2811,2278,1657,0,0
Hampton city,133793,122617,120779,89258,5966,5898,53623,43671,36556,26193,1977,1688
Harrisonburg city,30707,19671,14605,11916,10810,8768,10900,6170,4514,3662,2978,2369
Hopewell city,23101,23397,23471,17895,10219,8679,9625,9291,7650,5390,2903,2490
Lexington city,6959,7292,7597,7537,0,0,2311,2389,2260,0,0,0
Lynchburg city,66049,66743,54083,54790,47727,44541,27233,25421,18398,16826,13831,11887
Manassas city,27957,15438,0,0,0,0,10232,5511,0,0,0,0
Manassas Park city,6734,6524,0,0,0,0,2252,1931,0,0,0,0
Martinsville city,16162,18149,19653,18798,17251,10080,7310,7079,6359,5557,4525,2335
Newport News city,170045,144903,138177,113662,42358,37067,69728,54994,41692,31946,12350,10004
Norfolk city,261229,266979,307951,304869,213513,144332,98762,94871,91061,87560,56122,38753
Norton city,4247,4757,4172,5013,0,0,1845,1839,1478,0,0,0
Petersburg city,38386,41055,36103,36750,35054,30631,16196,16139,11999,11769,10264,8595
Poquoson city,11005,8726,0,0,0,0,3890,2954,0,0,0,0
Portsmouth city,103907,104577,110963,114773,80039,50745,42283,38611,36469,33349,20796,13611
Radford city,15940,13225,11596,9371,9026,6990,5496,4162,3287,2727,2481,1729
Richmond city,203056,219214,249332,219958,230310,193042,94141,91527,87026,69105,66434,52440
Roanoke city,96397,100220,92115,97110,91921,69287,44384,42690,33637,32277,27219,18437
Salem city,23756,23958,21982,16058,0,0,9609,9017,6922,0,0,0
South Boston city,6997,7093,6889,5974,0,0,2997,2816,2414,1916,0,0
Staunton city,24461,21857,24504,22232,19927,13337,10003,8630,7740,6360,5075,3002
Suffolk city,52141,47621,9858,12609,12339,11343,20011,16719,3613,4112,3664,3026
Virginia Beach city,393069,262199,172106,8091,0,0,147037,92032,47957,3611,0,0
Waynesboro city,18549,15329,16707,15694,12357,0,7902,6202,5519,4748,3527,0
Williamsburg city,11530,9870,9069,6832,6735,3942,3960,3041,2591,1566,1195,692
Winchester city,21947,20217,14643,15110,13841,12095,9808,8386,5263,5111,4335,3390
,,,,,,,,,,,,
Washington,,,,,,,,,,,,
Adams County,13603,13267,12014,9929,6584,6209,5263,5049,3936,3173,2194,1884
Asotin County,17605,16823,13799,12909,10878,8365,7519,7043,5068,4527,3622,2632
Benton County,112560,109444,67540,62070,51370,12053,44877,42651,21826,19046,15234,3526
Chelan County,52250,45061,41103,40744,39301,34412,25048,22140,18431,15936,15890,12238
Clallam County,56464,51648,34770,30022,26396,21848,25225,21851,12842,10578,8893,6916
Clark County,238053,192227,128454,93809,85307,49852,92849,72806,42916,31215,27974,15566
Columbia County,4024,4057,4439,4569,4860,5549,2046,1819,1845,1753,1734,1750
Cowlitz County,82119,79548,68616,57801,53369,40155,33304,31748,23512,19543,17301,12431
Douglas County,26205,22144,16787,14890,10817,8651,10640,9139,6211,5505,3881,2862
Ferry County,6295,5811,3655,3889,4096,4701,3239,2394,1553,1481,1362,1514
Franklin County,37473,35025,25816,23342,13563,6307,13664,13316,8425,7325,4523,1984
Garfield County,2248,2468,2911,2976,3204,3383,1209,1142,1138,1043,1059,1104
Grant County,54758,48522,41881,46477,24346,14668,22809,20271,14825,14396,7564,5977
Grays Harbor County,64175,66314,59553,54465,53644,53166,29932,28598,22174,20121,19019,17869
Island County,60195,44048,27011,19638,11079,6098,25860,20872,12084,8920,5719,2861
Jefferson County,20146,15965,10661,9639,11618,8918,11014,8826,4882,4103,4116,2963
King County,1507319,1269898,1159369,935014,732992,504980,647343,525562,424837,333959,252396,183151
Kitsap County,189731,147152,101732,84176,75724,44387,74038,57327,36095,31648,29060,16803
Kittitas County,26725,24877,25039,20467,22235,20230,13215,11709,9127,7364,7503,6464
Klickitat County,16616,15822,12138,13455,12049,11357,7213,6498,4668,4912,4103,3653
Lewis County,59358,56025,45467,41858,43755,41393,25487,23119,16690,15307,15011,12973
Lincoln County,8864,9604,9572,10919,10970,11361,4607,4336,3827,3722,3855,3577
Mason County,38341,31184,20918,16251,15022,11603,22292,17532,10591,7866,6065,4663
Okanogan County,33350,30663,25867,25520,29131,24546,16629,13599,11532,10643,10550,7510
Pacific County,18882,17237,15796,14674,16558,15928,12404,10949,7677,7156,6841,6000
Pend Oreille County,8915,8580,6025,6914,7413,7156,5404,4688,3258,3282,2822,2635
Pierce County,586203,485667,412344,321590,275876,182081,228842,187443,133716,105304,85258,59372
San Juan County,10035,7838,3856,2872,3245,3157,6075,5310,2673,2136,1583,1295
Skagit County,79555,64138,52381,51350,43273,37650,33580,27775,19575,19360,14926,11835
Skamania County,8289,7919,5845,5207,4788,4633,3922,3435,2174,2132,1936,1690
Snohomish County,465642,337720,265236,172199,111580,88754,183942,131206,89425,58697,39915,30239
Spokane County,361364,341835,287487,278333,221561,164652,150105,137673,99869,97458,72505,54376
Stevens County,30948,28979,17405,17884,18580,19275,14601,12550,7167,7461,6605,6484
